OFFICE_LOC,LOC,NAME,HOMEPAGE,ESTABLISHMENT,GENDER,ZIP_CODE,ADDRESS,TEL, 1G_CLA , 2G_CLA , 3G_CLA , SPECIAL_CLA , CLA_SUM , 1G_STU , 1G_STU_EMPTY , 2G_STU , 2G_STU_EMPTY , 3G_STU , 3G_STU_EMPTY , STU_SUM , STU_EMPTY_SUM , AVG , T_NUM , T_EMPTY , T_REGULAR_NYM , T_REGULAR_EMPTY , T_TERM_NUM , T_TERM_EMPTY , EMP_NUM , EMP_EMPTY , CLASS_NUM 
서부,마포구,아현중학교,http://ahyeon.ms.kr, 공립 , 공학 ,4117," 서울특별시 마포구 마포대로 247 (아현동,아현중학교) ",23631813,7,6,6,2,21,197,86,158,86,158,83,513,255,24.4,49,38,38,28,11,10,3,3,46
서부,서대문구,연북중학교,http://www.yeonbuk.ms.kr, 공립 , 공학 ,3718," 서울특별시 서대문구 연희로36길 32 (연희동, 연북중학교) ",23327378,6,5,6,1,18,129,52,107,38,143,60,379,150,21.1,34,26,32,24,2,2,2, - ,30
서부,은평구,연서중학교,http://www.yeonseo.ms.kr, 공립 , 공학 ,3496," 서울특별시 은평구 증산서길 125-6 (증산동,연서중학교) ",267158000,5,5,7,1,18,115,57,126,52,171,74,412,183,22.9,38,28,32,23,6,5,3,1,39
서부,은평구,연신중학교,http://www.yonsin.ms.kr, 공립 , 공학 ,3342," 서울특별시 은평구 연서로33길 16-32 (연신중학교, 불광동) ",23837831,6,6,7,1,20,142,57,125,53,168,62,435,172,21.8,44,35,34,29,10,6,2,2,40
서부,은평구,연천중학교,http://yonchon.ms.kr, 공립 , 공학 ,3338, 서울특별시 은평구 연서로41길 30 (불광동) ,23540514,6,6,6, - ,18,100,41,121,44,154,57,375,142,20.8,36,26,32,23,4,3,3,2,28
서부,서대문구,연희중학교,http://yonhi.ms.kr, 공립 , 공학 ,3670, 서울특별시 서대문구 증가로 170 (남가좌동) ,23722992,10,10,10, - ,30,266,132,274,147,263,131,803,410,26.8,56,46,52,46,4, - ,4, - ,42
서부,은평구,은평중학교,http://www.eunpyeong.ms.kr, 공립 , 공학 ,3429, 서울특별시 은평구 갈현로17나길 12-1 (구산동) ,23823545,8,8,8,2,26,185,59,190,71,188,93,563,223,21.7,52,41,43,33,9,8,4, - ,39
서부,서대문구,인왕중학교,http://www.inwang.ms.kr, 공립 , 공학 ,3620," 서울특별시 서대문구 세검정로4길 , 69 (홍제동) ",23965406,7,7,6,1,21,174,61,173,59,156,63,503,183,24,42,31,33,26,9,5,3,2,36
서부,마포구,중암중학교,http://www.joongam.ms.kr, 공립 , 공학 ,3934," 서울특별시 마포구 월드컵북로38길 25 (중동,중암중학교) ",23095778,9,9,13,1,32,245,128,224,100,368,195,837,423,26.2,65,49,54,38,11,11,4,2,44
서부,은평구,증산중학교,http://www.jeungsan.ms.kr, 공립 , 공학 ,3493," 서울특별시 은평구 증산로5길 27-30 , 증산중학교 (증산동) ",23039294,5,4,6,1,16,89,39,80,41,136,67,305,147,19.1,32,22,29,19,3,3,2, - ,25
서부,은평구,진관중학교,http://www.jingwan.ms.kr, 공립 , 공학 ,3302, 서울특별시 은평구 진관4로 36 (진관동) ,23835378,13,10,11,2,36,401,203,338,156,344,174,"1,083",533,30.1,67,51,59,43,8,8,4,2,50
서부,마포구,창천중학교,http://www.changchun.ms.kr, 공립 , 공학 ,4102, 서울특별시 마포구 백범로1길 56 (노고산동) ,27010071,5,5,5,2,17,101,59,99,55,115,62,315,176,18.5,37,30,30,25,7,5,2,1,53
서부,서대문구,홍은중학교,http://www.hongeun.ms.kr, 공립 , 공학 ,3648," 서울특별시 서대문구 연희로41길 94 (홍은동, 홍은중학교) ",232160512,5,5,5,1,16,96,25,112,47,128,36,336,108,21,34,23,28,20,6,3,3,1,35
서부,마포구,경성중학교,http://www.gyeongseong.ms.kr, 사립 , 남자 ,3977," 서울특별시 마포구 성미산로 111 , 경성중학교 (연남동) ",231401245,5,5,5, - ,15,95, - ,96, - ,108, - ,299, - ,19.9,30,19,24,15,6,4,4,1,27
서부,마포구,광성중학교,http://www.kwangsung.ms.kr, 사립 , 남자 ,4097," 서울 마포구 신수로8길 20 (신수동,광성중고등학교) ",27033456,5,5,5, - ,15,103, - ,96, - ,114, - ,313, - ,20.9,31,12,23,8,8,4,4,2,4
서부,은평구,대성중학교,http://www.dsms.ms.kr, 사립 , 남자 ,3322," 서울특별시 은평구 갈현로29길 51-24 , 대성중고등학교 (갈현동) ",262521100,9,9,10, - ,28,173, - ,165, - ,231, - ,569, - ,20.3,53,34,38,27,15,7,5,1,35
서부,마포구,동도중학교,http://www.dong-do.ms.kr, 사립 , 공학 ,4140, 서울특별시 마포구 백범로 139 동도중학교 ,27165391,8,8,8, - ,24,238,112,229,119,220,120,687,351,28.6,47,22,33,14,14,8,3,2,30
서부,서대문구,동명여자중학교,http://www.dongmyunggirls.ms.kr, 사립 , 여자 ,3735, 서울특별시 서대문구 독립문로 49 (천연동) ,23635043,4,5,5, - ,14,92,92,103,103,100,100,295,295,21.1,27,16,24,13,3,3,4,3,21
서부,서대문구,명지중학교,http://www.myongji.ms.kr, 사립 , 공학 ,3656, 서울특별시 서대문구 명지2길 56 (홍은동) ,23027072,9,10,10, - ,29,234,93,216,105,205,102,655,300,22.6,53,30,34,18,19,12,6,3,45
서부,은평구,선일여자중학교,http://www.sunil.ms.kr, 사립 , 여자 ,3322," 서울특별시 은평구 갈현로29길 27 (갈현동,선일여자중학교) ",23550161,8,8,9, - ,25,169,169,154,154,179,179,502,502,20.1,50,39,36,28,14,11,4,3,34
서부,은평구,선정중학교,http://sunjung-m.sen.go.kr, 사립 , 공학 ,3327," 서울특별시 은평구 서오릉로20길 19 , 선정중학교 (갈현동) ",231561721,9,9,10, - ,28,192,67,177,52,238,109,607,228,21.7,51,31,36,21,15,10,4,2,33
서부,마포구,숭문중학교,http://www.soongmoon.ms.kr, 사립 , 남자 ,4126," 서울특별시 마포구 숭문길 99 (대흥동,숭문중고등학교) ",27154461,6,6,6, - ,18,150, - ,134, - ,140, - ,424, - ,23.6,32,8,30,8,2, - ,4,1,25
서부,은평구,숭실중학교,http://www.soongsilm.net, 사립 , 남자 ,3445, 서울특별시 은평구 은평터널로7길 6 (신사동) ,23737641,6,6,6, - ,18,148, - ,144, - ,134, - ,426, - ,23.7,34,6,28,5,6,1,4,1,19
서부,은평구,영락중학교,http://youngnak.ms.kr/, 사립 , 공학 ,3475," 서울특별시 은평구 백련산로 134-6 , 영락중학교 (응암동, 영락중학교) ",23884033,8,8,8, - ,24,229,94,221,101,191,88,641,283,26.7,53,38,36,24,17,14,4,2,39
서부,은평구,예일여자중학교,http://yale.ms.kr, 사립 , 여자 ,3412, 서울특별시 은평구 연서로 117 (구산동) ,23800982,8,8,8, - ,24,242,242,206,206,206,206,654,654,27.3,45,38,40,33,5,5,4,3,31
서부,서대문구,이화여자대학교사범대학부속이화・금란중학교,http://www.ewha.ms.kr, 사립 , 공학 ,3765, 서울특별시 서대문구 성산로 520 (대신동) ,23926175,6,6,6, - ,18,131,70,114,62,155,80,400,212,22.2,36,24,30,19,6,5,4,2,38
서부,서대문구,인창중학교,http://ic.ms.kr/, 사립 , 남자 ,3746," 서울특별시 서대문구 경기대로 65 , 인창중학교 (충정로2가, 인창중·고등학교) ",23004504,6,6,6, - ,18,127, - ,110, - ,146, - ,383, - ,21.3,34,15,31,14,3,1,4,2,21
서부,서대문구,정원여자중학교,http://www.jungwon.ms.kr, 사립 , 여자 ,3652," 서울특별시 서대문구 연희로37안길 51 , 정원여자중학교 (홍은동) ",23946301,8,8,8, - ,24,127,127,141,141,158,158,426,426,17.8,49,39,41,31,8,8,4,2,37
서부,서대문구,중앙여자중학교,http://jungang1940.ms.kr, 사립 , 여자 ,3762," 서울특별시 서대문구 북아현로11가길 7 (북아현동, 중앙여자중학교) ",23623063,5,5,5, - ,15,76,76,82,82,85,85,243,243,16.2,30,17,24,13,6,4,4,2,24
서부,은평구,충암중학교,http://www.choongam.ms.kr, 사립 , 공학 ,3481, 서울특별시 은평구 가좌로5길 5 (응암동) ,7050085757,10,10,10, - ,30,209,93,194,84,215,106,618,283,20.6,56,35,40,23,16,12,4, - ,42
서부,서대문구,한성중학교,http://www.hanseong.ms.kr, 사립 , 남자 ,3771," 서울특별시 서대문구 북아현로1길 24 (북아현동,한성중학교) ",23654942,6,6,8, - ,20,57, - ,90, - ,146, - ,293, - ,14.7,35,5,31,2,4,3,4, - ,30
서부,마포구,홍익대학교사범대학부속여자중학교,http://www.hongikg.ms.kr, 사립 , 여자 ,3967," 서울특별시 마포구 성미산로 51 , 홍익대학교사범대학부속여자중학교 (성산동) ",23317305,5,5,5, - ,15,126,126,117,117,139,139,382,382,25.5,34,22,28,18,6,4,4,1,23
남부,금천구,가산중학교,http://www.gasan.ms.kr, 공립 , 공학 ,8584, 서울특별시 금천구 시흥대로115길 48 (독산동) ,28041777,6,5,6,2,19,155,86,115,59,135,63,405,208,21.3,39,31,33,25,6,6,2,1,38
남부,구로구,개봉중학교,http://www.gaebong.ms.kr, 공립 , 공학 ,8250, 서울특별시 구로구 고척로21나길 68 (개봉동) ,236602480,6,6,7,2,21,153,90,141,70,166,78,460,238,21.9,41,26,35,22,6,4,2,1,28
남부,구로구,개웅중학교,http://www.kaewoong.ms.kr, 공립 , 공학 ,8351," 서울특별시 구로구 개봉로11길 81 , 개웅중학교 (개봉동,개웅중학교) ",226133342,8,8,9, - ,25,179,94,190,101,200,101,569,296,22.8,55,40,42,34,13,6,3,2,36
남부,구로구,경인중학교,http://kyeongin.ms.kr, 공립 , 공학 ,8238, 서울특별시 구로구 경인로 301 (개봉동) ,226126508,8,7,9,2,26,207,111,161,75,249,139,617,325,23.7,51,37,44,32,7,5,3,1,40
남부,구로구,고척중학교,http://www.gocheok.ms.kr, 공립 , 공학 ,8225," 서울특별시 구로구 중앙로3길 20 , 고척중학교 (고척동) ",269177102,12,12,12,1,37,327,165,324,152,349,145,"1,000",462,27,68,50,61,44,7,6,4,1,48
남부,구로구,구로중학교,http://www.guro.ms.kr, 공립 , 공학 ,8303, 서울특별시 구로구 구로중앙로 48 (구로동) ,28644233,7,7,7,1,22,143,67,149,67,146,72,438,206,19.9,47,35,41,30,6,5,2,2,52
남부,구로구,구일중학교,http://kuil.ms.kr, 공립 , 공학 ,8324, 서울특별시 구로구 구일로 90-133 (구로동) ,221079103,9,7,8,1,25,225,101,155,73,193,77,573,251,22.9,48,37,42,31,6,6,4,2,33
남부,금천구,난곡중학교,http://nangok.ms.kr, 공립 , 공학 ,8549, 서울특별시 금천구 문성로 67 (독산동) ,705080070,5,6,5,1,17,97,48,121,64,108,58,326,170,19.2,37,26,31,21,6,5,2,1,46
남부,영등포구,당산서중학교,http://www.dangsanseo.ms.kr, 공립 , 공학 ,7213," 서울특별시 영등포구 당산로41길 12 (당산동5가,당산서중학교) ",226760962,7,5,8, - ,20,132,69,113,57,188,91,433,217,21.7,41,33,35,29,6,4,3,2,41
남부,영등포구,당산중학교,http://dangsan.ms.kr, 공립 , 공학 ,7224, 서울특별시 영등포구 버드나루로 160 (당산동) ,221779900,6,6,6,1,19,145,59,151,72,136,67,432,198,22.7,38,27,33,24,5,3,3,3,36
남부,영등포구,대림중학교,http://www.daerim.ms.kr, 공립 , 공학 ,7442," 서울특별시 영등포구 시흥대로185길 6 (대림동,대림중학교) ",28452171,7,7,8,1,23,116,54,127,56,158,68,401,178,17.4,50,42,40,34,10,8,3,2,34
남부,영등포구,대영중학교,http://daeyoung.ms.kr, 공립 , 공학 ,7397," 서울특별시 영등포구 도림로80가길 14 (신길동, 대영중학교) ",28487781,9,8,8,1,26,189,88,182,86,179,80,550,254,21.2,53,44,44,35,9,9,4,1,36
남부,영등포구,문래중학교,http://www.mullae.ms.kr, 공립 , 공학 ,7283," 서울특별시 영등포구 선유서로13길 6 (문래동6가,문래중학교) ",267120707,8,8,8, - ,24,207,101,203,93,212,94,622,288,25.9,48,32,41,27,7,5,4,1,34
남부,금천구,문성중학교,http://www.munseong.ms.kr, 공립 , 공학 ,8551," 서울특별시 금천구 독산로102길 78 , 문성중학교 (독산동) ",28588446,5,5,6,1,17,106,49,107,54,134,70,347,173,20.4,38,30,30,24,8,6,2,1,32
남부,영등포구,선유중학교,http://seonyoo.ms.kr, 공립 , 공학 ,7211, 서울특별시 영등포구 선유로 213 (양평동3가) ,226784652,6,6,6,1,19,136,59,145,68,163,79,444,206,23.4,36,29,33,26,3,3,4,2,34
남부,금천구,세일중학교,http://www.seil.ms.kr, 공립 , 공학 ,8533, 서울특별시 금천구 시흥대로147길 34 (독산동) ,28561049,5,6,5,2,18,121,48,151,66,120,55,392,169,21.8,40,28,32,22,8,6,3,2,38
남부,금천구,시흥중학교,http://www.shi-heung.ms.kr, 공립 , 공학 ,8650," 서울특별시 금천구 시흥대로38길 60 , 시흥중학교 (시흥동) ",7047165706,10,8,10,2,30,240,153,179,139,240,174,659,466,22,60,46,50,36,10,10,2,2,47
남부,구로구,신도림중학교,http://www.sindorim.ms.kr, 공립 , 공학 ,8207," 서울특별시 구로구 경인로63길 74 , 신도림중학교 (신도림동) ",226761993,12,12,12,1,37,334,152,343,156,317,158,994,466,26.9,68,52,62,46,6,6,4,3,49
남부,금천구,안천중학교,http://www.ancheon.ms.kr, 공립 , 공학 ,8597," 서울특별시 금천구 한내로 69-44 (독산동,안천중학교) ",28941391,7,6,6,1,20,144,70,141,63,122,63,407,196,20.4,40,28,36,25,4,3,2,1,31
남부,영등포구,양화중학교,http://www.yangwha.ms.kr, 공립 , 공학 ,7293," 서울특별시 영등포구 당산로 56 (문래동3가, 양화중학교) ",222295706,9,8,8,1,26,235,103,210,97,207,99,652,299,25.1,54,40,45,33,9,7,5,3,38
남부,영등포구,여의도중학교,http://www.yeouido.ms.kr, 공립 , 공학 ,7341," 서울특별시 영등포구 국제금융로7길 46 , 여의도중학교 (여의도동) ",221999600,11,10,10,1,32,247,117,253,120,239,110,739,347,23.1,60,44,57,41,3,3,2,1,64
남부,영등포구,영남중학교,http://yeongnam.ms.kr, 공립 , 공학 ,7411," 서울특별시 영등포구 대림로31나길 17 , 영남중학교 (대림동) ",28331003,7,8,8,3,26,187,78,181,83,206,84,574,245,22.1,52,40,44,34,8,6,3,2,38
남부,구로구,영림중학교,http://younglim.ms.kr/, 공립 , 공학 ,8299," 서울특별시 구로구 가마산로27길 17 , 영림중학교 (구로동) ",28590320,10,8,9,1,28,230,120,175,91,188,100,593,311,21.2,56,41,44,33,12,8,4,3,59
남부,구로구,영서중학교,http://www.yeongseo.ms.kr, 공립 , 공학 ,8370, 서울특별시 구로구 도림로20길 35 (구로동) ,28569567,8,8,9,3,28,202,99,197,92,218,124,617,315,22,55,43,44,35,11,8,3,2,50
남부,영등포구,영원중학교,http://www.youngwon.ms.kr, 공립 , 공학 ,7310," 서울특별시 영등포구 영등포로62길 31 (영등포동,영원중학교) ",7050868130,8,8,8,2,26,185,91,190,88,210,97,585,276,22.5,50,41,44,36,6,5,2,1,42
남부,구로구,오남중학교,http://www.ohnam.ms.kr, 공립 , 공학 ,8363, 서울특별시 구로구 오리로9길 25 (오류동) ,269521204,8,8,8,1,25,215,125,200,114,192,111,607,350,24.3,48,31,43,26,5,5,3,2,33
남부,구로구,오류중학교,http://www.oryu.ms.kr, 공립 , 공학 ,8242, 서울특별시 구로구 고척로27바길 19 (고척동) ,226135874,5,5,6,1,17,109,46,109,55,140,74,358,175,21.1,33,24,29,20,4,4,2,2,35
남부,영등포구,윤중중학교,http://www.yunjung.ms.kr, 공립 , 공학 ,7322," 서울특별시 영등포구 여의동로3길 3 (여의도동, 윤중중학교) ",27808842,8,7,7,1,23,188,87,169,79,167,68,524,234,22.8,47,40,39,33,8,7,3,1,45
남부,구로구,천왕중학교,http://cheonwang.ms.kr, 공립 , 공학 ,8364," 서울특별시 구로구 천왕로 63 (천왕동, 천왕중학교) ",226182832,9,9,8,1,27,231,140,224,119,208,132,663,391,24.6,51,41,45,35,6,6,4,1,38
남부,금천구,한울중학교,http://www.hanwool.ms.kr, 공립 , 공학 ,8566, 서울특별시 금천구 독산로50길 60 한울중학교 ,28564941,8,8,9,1,26,194,98,183,91,215,117,592,306,22.8,52,37,45,33,7,4,4,3,35
